,City-Pair (a),Departure,longitude,latitude,Destination,PASSENGERS,TOTAL RPKs,AVAILABLE SEATS,TOTAL ASKs, LF % ,TRIPS,
1,Melbourne - Sydney,Melbourne,144.946457,-37.840935,Sydney, 701 648,497 894 669, 858 963,609 416 580,81.7,4 811,
2,Brisbane - Sydney,Brisbane,153.021072,-27.470125,Sydney, 379 906,286 069 218, 469 409,353 464 977,80.9,2 833,
3,Brisbane - Melbourne,Brisbane,153.021072,-27.470125,Melbourne, 275 064,379 863 384, 337 945,466 702 045,81.4,1 990,
4,Gold Coast - Sydney,Gold Coast,153.399994,-28.016666,Sydney, 198 492,134 974 560, 248 400,168 912 000,79.9,1 441,
5,Adelaide - Melbourne,Adelaide,138.599503,-34.92123,Melbourne, 189 519,121 807 627, 249 035,160 067 105,76.1,1 512,
6,Gold Coast - Melbourne,Gold Coast,153.399994,-28.016666,Melbourne, 155 056,206 734 605, 182 054,242 716 940,85.2, 963,
7,Melbourne - Perth,Melbourne,144.946457,-37.840935,Perth, 154 069,416 910 714, 189 831,513 682 686,81.2, 968,
8,Adelaide - Sydney,Adelaide,138.599503,-34.92123,Sydney, 137 571,160 545 357, 175 327,204 606 609,78.5,1 027,
9,Perth - Sydney,Perth,115.857048,-31.953512,Sydney, 124 608,409 212 672, 157 079,515 847 436,79.3, 707,
10,Hobart - Melbourne,Hobart,147.324997,-42.880554,Melbourne, 123 930,76 588 740, 157 343,97 237 974,78.8, 867,
11,Brisbane - Cairns,Brisbane,153.021072,-27.470125,Cairns, 103 936,144 574 976, 123 739,172 120 949,84.0, 874,
12,Canberra - Melbourne,Canberra,149.128998,-35.282001,Melbourne, 91 915,43 200 050, 142 004,66 741 880,64.7, 898,
13,Brisbane - Townsville,Brisbane,153.021072,-27.470125,Townsville, 86 707,96 418 184, 110 214,122 557 968,78.7, 736,
14,Cairns - Sydney,Cairns,145.75412,-16.925491,Sydney, 79 053,155 813 463, 93 193,183 683 403,84.8, 474,
15,Canberra - Sydney,Canberra,149.128998,-35.282001,Sydney, 78 511,18 528 596, 101 696,24 000 256,77.2,1 350,
16,Brisbane - Perth,Brisbane,153.021072,-27.470125,Perth, 72 879,263 457 585, 89 979,325 274 085,81.0, 488,
17,Cairns - Melbourne,Cairns,145.75412,-16.925491,Melbourne, 66 986,154 804 646, 76 531,176 863 141,87.5, 393,
18,Launceston - Melbourne,Launceston,147.157135,-41.429825,Melbourne, 65 493,31 174 668, 88 192,41 979 392,74.3, 671,
19,Adelaide - Brisbane,Adelaide,138.599503,-34.92123,Brisbane, 64 411,104 474 642, 89 466,145 113 852,72.0, 513,
20,Brisbane - Mackay,Brisbane,153.021072,-27.470125,Mackay, 62 406,49 737 582, 82 781,65 976 457,75.4, 639,
21,Brisbane - Canberra,Brisbane,153.021072,-27.470125,Canberra, 52 510,50 199 560, 72 325,69 142 700,72.6, 528,
22,Hobart - Sydney,Hobart,147.324997,-42.880554,Sydney, 51 946,53 971 894, 65 517,68 072 163,79.3, 421,
23,Adelaide - Perth,Adelaide,138.599503,-34.92123,Perth, 48 750,103 350 000, 69 844,148 069 280,69.8, 462,
24,Sunshine Coast - Sydney,Sunshine Coast,153.066666,-26.65,Sydney, 48 051,40 218 687, 62 512,52 322 544,76.9, 388,
25,Brisbane - Newcastle,Brisbane,153.021072,-27.470125,Newcastle, 46 864,28 774 496, 63 683,39 101 362,73.6, 461,
26,Brisbane - Rockhampton,Brisbane,153.021072,-27.470125,Rockhampton, 43 278,22 418 004, 55 035,28 508 130,78.6, 657,
27,Melbourne - Sunshine Coast,Melbourne,144.946457,-37.840935,Sunshine Coast, 38 329,55 730 366, 44 832,65 185 728,85.5, 250,
28,Melbourne - Newcastle,Melbourne,144.946457,-37.840935,Newcastle, 37 147,31 054 892, 49 094,41 042 584,75.7, 272,
29,Karratha - Perth,Karratha,116.846001,-20.736,Perth, 36 877,46 096 250, 57 627,72 033 750,64.0, 468,
30,Brisbane - Darwin,Brisbane,153.021072,-27.470125,Darwin, 32 996,94 104 592, 39 480,112 596 960,83.6, 239,
31,Darwin - Sydney,Darwin,130.841782,-12.462827,Sydney, 32 841,103 613 355, 38 520,121 530 600,85.3, 221,
32,Broome - Perth,Broome,122.2304,-17.9644,Perth, 30 424,51 021 048, 38 366,64 339 782,79.3, 325,
33,Darwin - Melbourne,Darwin,130.841782,-12.462827,Melbourne, 30 034,94 036 454, 33 829,105 918 599,88.8, 186,
34,Ballina - Sydney,Ballina,153.5658,-28.8628,Sydney, 29 405,17 995 860, 37 446,22 916 952,78.5, 247,
35,Perth - Port Hedland,Perth,115.857048,-31.953512,Port Hedland, 29 318,38 465 216, 49 430,64 852 160,59.3, 379,
36,Newman - Perth,Newman,119.8023,-23.4160,Perth, 27 533,28 056 127, 46 750,47 638 250,58.9, 338,
37,Coffs Harbour - Sydney,Coffs Harbour,153.114136,-30.296276,Sydney, 24 770,10 973 110, 36 640,16 231 520,67.6, 386,
38,Kalgoorlie - Perth,Kalgoorlie,121.465836,-30.74889,Perth, 21 962,11 815 556, 42 861,23 059 218,51.2, 353,
39,Brisbane - Gladstone,Brisbane,153.021072,-27.470125,Gladstone, 19 946,8 656 564, 30 756,13 348 104,64.9, 408,
40,Melbourne - Mildura,Melbourne,144.946457,-37.840935,Mildura, 18 607,8 503 399, 28 734,13 131 438,64.8, 389,
41,Albury - Sydney,Albury,146.916473,-36.08078,Sydney, 18 094,8 178 488, 26 187,11 836 524,69.1, 483,
42,Ayers Rock - Sydney,Ayers Rock,131.0369,-25.3444,Sydney, 17 749,38 710 569, 21 348,46 559 988,83.1, 120,
43,Brisbane - Proserpine,Brisbane,153.021072,-27.470125,Proserpine, 16 814,15 048 530, 21 760,19 475 200,77.3, 122,
44,Launceston - Sydney,Launceston,147.157135,-41.429825,Sydney, 16 763,15 321 382, 20 414,18 658 396,82.1, 114,
45,Brisbane - Emerald,Brisbane,153.021072,-27.470125,Emerald, 16 639,10 865 267, 24 300,15 867 900,68.5, 360,
46,Darwin - Perth,Darwin,130.841782,-12.462827,Perth, 15 872,42 076 672, 20 760,55 034 760,76.5, 120,
47,Brisbane - Hobart,Brisbane,153.021072,-27.470125,Hobart, 15 742,28 193 922, 19 244,34 466 004,81.8, 112,
48,Port Macquarie - Sydney,Port Macquarie,152.9,-31.4333,Sydney, 15 154,4 864 434, 20 872,6 699 912,72.6, 320,
49,Sydney - Wagga Wagga,Sydney,151.2099,-33.865143,Wagga Wagga, 15 029,5 515 643, 22 375,8 211 625,67.2, 457,
50,Adelaide - Gold Coast,Adelaide,138.599503,-34.92123,Gold Coast, 14 931,23 994 117, 18 300,29 408 100,81.6, 102,
51,Adelaide - Canberra,Adelaide,138.599503,-34.92123,Canberra, 14 929,14 510 988, 23 196,22 546 512,64.4, 141,
52,Dubbo - Sydney,Dubbo,148.601105,-32.256943,Sydney, 14 865,4 608 150, 21 814,6 762 340,68.1, 483,
53,Sydney - Tamworth,Sydney,151.2099,-33.865143,Tamworth, 14 047,4 495 040, 21 241,6 797 120,66.1, 333,
54,Adelaide - Alice Springs,Adelaide,138.599503,-34.92123,Alice Springs, 12 995,17 101 420, 16 329,21 488 964,79.6, 117,
55,Adelaide - Port Lincoln,Adelaide,138.599503,-34.92123,Port Lincoln, 12 923,3 179 058, 23 131,5 690 226,55.9, 602,
56,Brisbane - Bundaberg,Brisbane,153.021072,-27.470125,Bundaberg, 12 650,3 630 550, 18 393,5 278 791,68.8, 292,
57,Cairns - Townsville,Cairns ,145.75412,-16.925491,Townsville, 12 580,3 572 720, 19 942,5 663 528,63.1, 314,
58,Sydney - Townsville,Sydney,151.2099,-33.865143,Townsville, 11 982,20 249 580, 14 652,24 761 880,81.8, 82,
59,Brisbane - Mount Isa,Brisbane,153.021072,-27.470125,Mount Isa, 11 881,18 688 813, 16 316,25 665 068,72.8, 138,
60,Hamilton Island - Sydney,Hamilton Island,148.9573,-20.3519,Sydney, 11 665,17 800 790, 19 070,29 100 820,61.2, 122,
61,Alice Springs - Darwin,Alice Springs,133.8807,-23.698,Darwin, 10 256,13 384 080, 25 898,33 796 890,39.6, 156,
62,Brisbane - Hamilton Island,Brisbane,153.021072,-27.470125,Hamilton Island, 9 905,8 795 640, 14 830,13 169 040,66.8, 119,
63,Armidale - Sydney,Armidale,151.649994,-30.5,Sydney, 9 716,3 711 512, 15 150,5 787 300,64.1, 359,
64,Geraldton - Perth,Geraldton,114.6099,-28.7751,Perth, 8 516,3 150 920, 15 000,5 550 000,56.8, 150,
65,Proserpine - Sydney,Proserpine,148.5832,-20.4018,Sydney, 8 486,12 873 262, 11 802,17 903 634,71.9, 65,
